Order Number,Sample ID,P_F1,P_F2,Date,GRAV_BLK,Remarks,end
D9104457,,163.596,163.597,2022/10/22 12:00:09,163.597,,
D9103443,,166.915,166.957,2022/09/21 15:13:29,166.936,,
D9103441,,164.207,164.244,2022/09/21 15:12:07,164.226,,
D9103442,,167.025,167.022,2022/09/21 15:12:57,167.024,,
D9104456,,163.287,163.288,2022/10/22 11:59:27,163.288,,
D9104459,,162.851,162.861,2022/10/22 12:01:47,162.856,,
D9104458,,163.377,163.382,2022/10/22 12:00:58,163.380,,
D9104460,,162.638,162.626,2022/10/22 12:02:37,162.632,,
D9104461,,161.674,161.668,2022/10/22 12:06:31,161.671,,
D9103440,,163.164,163.119,2022/09/21 15:10:09,163.142,,
QC 169,,99.996,99.997,2022/12/05 11:44:37,99.997,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
