Order Number,Sample ID,P_F1,P_F2,Date,GRAV_BLK,Remarks,end
D9108263,,168.200,168.203,2022/11/05 15:51:44,168.202,,
D9108264,,168.013,168.028,2022/11/05 15:52:14,168.021,,
D9109401,,162.724,162.720,2022/11/10 10:01:51,162.722,,
D9109402,,162.080,162.080,2022/11/10 10:02:35,162.080,,
D9104472,,164.148,164.181,2022/10/22 12:26:59,164.165,,
D9104473,,164.951,164.949,2022/10/22 12:28:40,164.950,,
D9104511,,167.174,167.176,2022/10/22 14:54:02,167.175,,
D9104512,,166.412,166.407,2022/10/22 14:54:07,166.410,,
D9104498,,166.588,166.585,2022/10/22 14:40:45,166.587,,
D9104499,,167.515,167.534,2022/10/22 14:42:01,167.525,,
D9108250,,167.637,167.648,2022/11/05 15:36:07,167.643,,
D9108251,,168.118,168.115,2022/11/05 15:36:39,168.117,,
D9108224,,168.393,168.397,2022/11/05 15:14:05,168.395,,
D9108225,,168.317,168.303,2022/11/05 15:14:38,168.310,,
D9108237,,167.532,167.529,2022/11/05 15:26:56,167.531,,
D9108238,,168.223,168.223,2022/11/05 15:27:30,168.223,,
D9108276,,168.443,168.445,2022/11/05 16:06:20,168.444,,
D9108277,,169.171,169.177,2022/11/05 16:07:29,169.174,,
QC,,,,,,,
,,,,,,,
,,,,,,,
